ped,type,time(s),x(cm),y(cm),density(m-2)
1,0,0,85.28,-255.363,-1
1,0,0.0333666677470319,85.4275,-254.691,1.09997631329415
1,0,0.0667333354940638,85.4275,-254.691,1.09997631329415
1,0,0.100100003241096,85.2543,-255.284,1.10257024882144
1,0,0.133466670988128,84.8631,-255.007,1.10200493289529
1,0,0.166833338735159,84.8891,-254.913,1.10556444943888
1,0,0.200200006482191,85.0209,-254.946,1.10170197458968
1,0,0.233566674229223,84.9183,-254.881,1.10093696061542
1,0,0.266933341976255,84.9183,-254.881,1.10296157683936
1,0,0.300300009723287,84.8649,-254.745,1.1039951760925
1,0,0.333666677463043,84.8649,-254.745,1.10181222688442
1,0,0.367033345210075,84.8298,-254.724,1.09713953088372
1,0,0.400400012957107,84.7258,-254.963,1.09845996147964
1,0,0.433766680704139,84.6143,-254.788,1.09383194591452
1,0,0.467133348451171,84.6675,-254.907,1.09402388120949
1,0,0.500500016198203,84.6369,-255.159,1.09317057570295
1,0,0.533866683945234,84.7011,-255.25,1.09478870098447
1,0,0.567233351692266,84.7565,-255.096,1.09840761431492
1,0,0.600600019439298,84.7051,-254.938,1.09168537788291
1,0,0.63396668718633,84.7841,-254.913,1.09175963773804
1,0,0.667333354933362,84.3101,-255.067,1.09432181274384
1,0,0.700700022680394,84.3101,-255.067,1.08772181809681
1,0,0.734066690427426,84.3101,-255.067,1.0935726147325
1,0,0.767433358174458,84.5728,-255.069,1.09356731269635
1,0,0.80080002592149,84.3101,-255.067,1.08397390626851
1,0,0.834166693668521,84.2103,-254.675,1.08391674158872
1,0,0.867533361415553,84.0511,-254.54,1.08171175009568
1,0,0.900900029162585,84.4655,-255.383,1.08759450786061
1,0,0.934266696902341,84.2546,-255.487,1.08550311374111
1,0,0.967633364649373,84.3083,-255.33,1.08206465417507
1,0,1.00100003239641,84.2287,-255.481,1.08548851340152
1,0,1.03436670014344,84.3718,-255.503,1.08244988002372
1,0,1.06773336789047,84.3601,-255.435,1.09186273497695
1,0,1.1011000356375,84.2156,-255.628,1.08148439267071
1,0,1.13446670338453,84.1701,-255.646,1.08123509334529
1,0,1.16783337113156,83.9919,-255.485,1.08342585526428
1,0,1.2012000388786,84.1874,-255.325,1.08641853490347
1,0,1.23456670662563,84.1626,-255.428,1.08064155846242
1,0,1.26793337437266,83.8619,-255.3,1.07675620978904
1,0,1.30130004211969,83.9603,-255.342,1.07767160664634
1,0,1.33466670986672,84.0474,-255.065,1.07593787784926
1,0,1.36803337761376,83.7828,-255.326,1.07694031358887
1,0,1.40140004536079,83.8793,-254.999,1.0745100348151
1,0,1.43476671310782,84.0017,-255.235,1.07706688870195
1,0,1.46813338085485,83.7062,-255.12,1.07463069253633
1,0,1.50150004860188,83.4829,-254.859,1.0782790307769
1,0,1.53486671634164,83.5238,-254.799,1.07259292090904
1,0,1.56823338408867,83.5238,-254.799,1.06800584980981
1,0,1.6016000518357,83.5256,-254.536,1.0691665708918
1,0,1.63496671958274,83.5293,-254.011,1.06773145166201
1,0,1.66833338732977,83.6691,-254.338,1.07167029726064
1,0,1.7017000550768,83.6697,-254.261,1.06765677911073
1,0,1.73506672282383,83.5275,-254.273,1.07281979858969
1,0,1.76843339057086,83.5275,-254.273,1.07632727346123
1,0,1.80180005831789,83.5275,-254.273,1.07390298015262
1,0,1.83516672606493,83.5275,-254.273,1.07290607519988
1,0,1.86853339381196,83.2666,-254.009,1.07819436246977
1,0,1.90190006155899,83.2666,-254.009,1.07552212196758
1,0,1.93526672930602,82.743,-253.742,1.07432811396317
1,0,1.96863339705305,83.0057,-253.744,1.07513543892273
1,0,2.00200006480009,82.4822,-253.478,1.07890498661355
1,0,2.03536673254712,82.7485,-252.954,1.07729090112684
1,0,2.06873340029415,82.7485,-252.954,1.0769708486392
1,0,2.10210006804118,82.2268,-252.425,1.0796397342484
1,0,2.13546673578821,82.4913,-252.164,1.08600303950796
1,0,2.16883340352797,82.495,-251.639,1.09130127544912
1,0,2.202200071275,82.4987,-251.114,1.08857347126493
1,0,2.23556673902203,82.8617,-250.584,1.09533045919841
1,0,2.26893340676907,83.2437,-250.058,1.08766176376599
1,0,2.3023000745161,83.0314,-250.066,1.10451528380356
1,0,2.33566674226313,83.3015,-249.017,1.1076187236564
1,0,2.36903341001016,83.5678,-248.494,1.11121105230947
1,0,2.40240007775719,83.3106,-247.704,1.11577381383594
1,0,2.43576674550422,83.8379,-247.445,1.12761765694523
1,0,2.46913341325126,84.2907,-245.916,1.13664222491367
1,0,2.50250008099829,84.6388,-245.612,1.13978434725042
1,0,2.53586674874532,84.3853,-244.296,1.15475422617055
1,0,2.56923341649235,84.9143,-243.774,1.16407437359725
1,0,2.60260008423938,85.1862,-242.463,1.16974266563538
1,0,2.63596675198642,85.7208,-241.153,1.17095553679229
1,0,2.66933341973345,85.989,-240.367,1.18969012410832
1,0,2.70270008748048,87.049,-239.061,1.19294785316815
1,0,2.73606675522751,87.319,-238.012,1.19975602705988
1,0,2.76943342296727,87.8499,-237.227,1.21919623457017
1,0,2.8028000907143,88.6527,-235.131,1.21330783631636
