ped,type,time(s),x(cm),y(cm),density(m-2)
1,0,2.66933341973345,221.817,-264.063,0.770814849038721
1,0,2.70270008748048,221.652,-263.382,0.772934145605298
1,0,2.73606675522751,221.972,-262.701,0.772704652713804
1,0,2.76943342296727,221.554,-262.278,0.774605905440858
1,0,2.8028000907143,221.607,-261.401,0.774670747021032
1,0,2.83616675846133,221.513,-260.701,0.77481658590297
1,0,2.86953342620836,221.307,-259.851,0.777742995145707
1,0,2.9029000939554,221.399,-259.394,0.778927038967853
1,0,2.93626676170243,221.187,-258.466,0.782198821263125
1,0,2.96963342944946,221.22,-257.494,0.782708602659881
1,0,3.00300009719649,221.512,-256.557,0.77702081387609
1,0,3.03636676494352,221.395,-255.832,0.786097546835394
1,0,3.06973343269055,221.051,-255.365,0.789056904773027
1,0,3.10310010043759,221.449,-254.711,0.790763998198853
1,0,3.13646676818462,221.666,-253.819,0.790910999309116
1,0,3.16983343593165,220.937,-252.868,0.785692908503621
1,0,3.20320010367868,221.296,-251.531,0.79131322362535
1,0,3.23656677142571,221.054,-250.49,0.794287647230893
1,0,3.26993343917275,221.806,-249.069,0.801435795498638
1,0,3.30330010691978,220.838,-248.27,0.80215551410242
1,0,3.33666677466681,220.843,-247.482,0.815866266988612
1,0,3.37003344240657,221.117,-245.908,0.81197818410847
1,0,3.4034001101536,220.995,-244.462,0.81797615369698
1,0,3.43676677790063,221.038,-243.295,0.823341337248334
1,0,3.47013344564766,221.802,-241.84,0.829190884684533
1,0,3.50350011339469,221.813,-240.264,0.834917754980055
1,0,3.53686678114173,221.556,-239.474,0.852201271975898
1,0,3.57023344888876,222.416,-237.696,0.860967555710288
1,0,3.60360011663579,222.494,-236.722,0.849554434212807
1,0,3.63696678438282,222.636,-235.278,0.861297232440819
1,0,3.67033345212985,223.169,-234.231,0.86796135931488
1,0,3.70370011987688,223.047,-232.785,0.880682883664551
1,0,3.73706678762392,223.448,-231.869,0.883702858984034
1,0,3.77043345537095,224.111,-230.954,0.889791364304209
1,0,3.80380012311798,224.642,-230.169,0.897779908441943
1,0,3.83716679086501,224.772,-230.302,0.888238858871759
1,0,3.87053345861204,225.436,-229.634,0.893552802257331
1,0,3.90390012635908,225.957,-229.916,0.890900451089081
1,0,3.93726679410611,226.297,-229.872,0.904525982178392
1,0,3.97063346185314,226.709,-230.174,0.880597796503953
1,0,4.0040001295929,226.878,-229.791,0.901722427379875
1,0,4.03736679733993,227.139,-230.055,0.88685190991038
1,0,4.07073346508696,225.898,-229.693,0.89322318142547
1,0,4.10410013283399,226.075,-229.723,0.899568040775497
1,0,4.13746680058102,225.83,-229.258,0.906246615885691
1,0,4.17083346832806,225.248,-229.649,0.899396681190726
1,0,4.20420013607509,224.987,-229.62,0.900012457628839
1,0,4.23756680382212,223.896,-229.231,0.91093718909999
1,0,4.27093347156915,223.518,-229.4,0.9170879211061
1,0,4.30430013931618,222.473,-229.05,0.921594981114553
1,0,4.33766680706321,222.573,-229.183,0.929704593633271
1,0,4.37103347481025,221.106,-228.7,0.924189148482685
1,0,4.40440014255728,220.329,-228.824,0.925799206683735
1,0,4.43776681030431,220.187,-228.562,0.92080589061153
1,0,4.47113347805134,217.992,-229.491,0.919187210957369
1,0,4.50450014579837,217.752,-229.434,0.91604911447923
1,0,4.53786681354541,216.374,-230.175,0.902145454176253
1,0,4.57123348129244,214.262,-230.491,0.8988277081567
1,0,4.60460014903219,213.472,-230.748,0.885113415882005
1,0,4.63796681677923,212.418,-231.266,0.880379920541126
1,0,4.67133348452626,210.838,-231.781,0.868810500057322
1,0,4.70470015227329,210.364,-232.218,0.860266693833025
1,0,4.73806682002032,208.731,-232.554,0.846408634659289
1,0,4.77143348776735,208.388,-232.885,0.834386768996614
1,0,4.80480015551439,208.042,-233.39,0.814439597938755
1,0,4.83816682326142,206.097,-233.586,0.800481730741629
1,0,4.87153349100845,205.042,-234.105,0.784810273088813
1,0,4.90490015875548,204.531,-234.606,0.76912373530532
1,0,4.93826682650251,203.464,-234.356,0.758815956518958
1,0,4.97163349424955,202.939,-234.353,0.743468512128792
1,0,5.00500016199658,202.41,-234.874,0.72882919050995
1,0,5.03836682974361,202.147,-234.872,0.71762455295687
1,0,5.07173349749064,201.661,-235.872,0.699613024292507
1,0,5.10510016523767,200.919,-235.87,0.698778423747021
1,0,5.1384668329847,199.907,-235.978,0.680429024217167
1,0,5.17183350073174,199.6,-236.178,0.666653009297294
1,0,5.20520016847149,199.246,-236.021,0.660355215757466
1,0,5.23856683621852,198.833,-235.807,0.658552595865707
1,0,5.27193350396556,198.578,-235.48,0.653164049325993
1,0,5.30530017171259,197.889,-235.211,0.637406418405553
1,0,5.33866683945962,197.569,-234.843,0.634992893504343
1,0,5.37203350720665,197.149,-234.421,0.625790528402728
1,0,5.40540017495368,196.508,-233.973,0.618169771808147
1,0,5.43876684270072,196.801,-232.808,0.617505499036929
1,0,5.47213351044775,196.302,-232.563,0.611570482269495
1,0,5.50550017819478,195.834,-231.955,0.605974617429467
1,0,5.53886684594181,195.628,-231.188,0.601719627776076
1,0,5.57223351368884,195.453,-230.307,0.597933694000773
1,0,5.60560018143588,195.096,-228.781,0.598511986339767
1,0,5.63896684918291,195.102,-227.993,0.59611266712504
1,0,5.67233351692994,194.93,-226.557,0.593984266913359
1,0,5.70570018467697,194.597,-225.099,0.593329413930933
1,0,5.739066852424,194.679,-223.266,0.594131156829526
1,0,5.77243352017103,194.622,-221.422,0.595505903391116
1,0,5.80580018791079,194.111,-219.316,0.601121969261037
1,0,5.83916685565782,194.126,-217.215,0.600175364397211
1,0,5.87253352340485,193.889,-214.543,0.610645937391346
1,0,5.90590019115189,193.375,-211.955,0.616479214014247
1,0,5.93926685889892,193.263,-209.196,0.633201324981641
1,0,5.97263352664595,192.886,-206.697,0.638527897322508
1,0,6.00600019439298,192.772,-204.201,0.647287788004606
1,0,6.03936686214001,192.269,-201.045,0.674660946340829
1,0,6.07273352988705,192.22,-198.978,0.682276685406758
1,0,6.10610019763408,192.3,-196.579,0.70253030362653
1,0,6.13946686538111,191.787,-194.736,0.720703717549396
1,0,6.17283353312814,191.931,-193.03,0.726652688643002
1,0,6.20620020087517,192.204,-191.455,0.74207973055134
1,0,6.23956686862221,193.531,-189.626,0.749464483359926
1,0,6.27293353636924,193.802,-188.314,0.748107069087041
1,0,6.30630020411627,194.067,-188.053,0.738684088559854
1,0,6.3396668718633,194.076,-186.739,0.744878940024002
1,0,6.37303353961033,194.623,-185.893,0.737991560239154
1,0,6.40640020735736,194.879,-184.643,0.747435741411366
1,0,6.43976687509712,193.808,-184.361,0.726200293611137
1,0,6.47313354284415,193.834,-183.848,0.717029366838143
1,0,6.50650021059118,193.882,-182.99,0.720676624542354
1,0,6.53986687833822,193.846,-182.009,0.72040596821738
1,0,6.57323354608525,196.09,-180.953,0.719181808814636
1,0,6.60660021383228,193.834,-180.857,0.707308953721231
1,0,6.63996688157931,193.28,-180.324,0.704913718007032
1,0,6.67333354932634,193.468,-179.773,0.704529887533213
1,0,6.70670021707338,195.247,-178.745,0.697320311524482
1,0,6.74006688482041,193.474,-178.985,0.680468736287479
1,0,6.77343355256744,194.112,-177.962,0.685538277168173
